BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
F6:F1:5A:DE:EB:EE, 2015-03-06 14:03:32, 2015-03-06 14:05:21,1,54, WPA2, CCMP,PSK,-52,408,67,   0.  0.  0.  0,11, iPhone leha, 
00:25:00:FF:94:73, 2015-03-06 14:01:38, 2015-03-06 14:01:38,-1,-1,     ,       ,   ,-1,0,0,   0.  0.  0.  0,0, , 
00:18:25:10:88:E0, 2015-03-06 14:03:20, 2015-03-06 14:04:29,1,54, OPN ,       ,   ,-97,3,0,   0.  0.  0.  0,21, Jem3en Net 0597100650, 
24:C9:A1:B6:49:63, 2015-03-06 14:02:07, 2015-03-06 14:06:25,1,54, WPA2, CCMP,PSK,-97,6,0,   0.  0.  0.  0,0, , 
24:C9:A1:36:49:68, 2015-03-06 14:02:00, 2015-03-06 14:06:25,1,54, OPN ,       ,   ,-97,12,0,   0.  0.  0.  0,6, kar-56, 
24:C9:A1:B5:D0:83, 2015-03-06 14:01:34, 2015-03-06 14:06:32,6,54, WPA2, CCMP,PSK,-97,88,0,   0.  0.  0.  0,0, , 
24:C9:A1:35:D0:88, 2015-03-06 14:01:34, 2015-03-06 14:06:35,6,54, OPN ,       ,   ,-97,196,0,   0.  0.  0.  0,6, kar-64, 
24:C9:A1:75:D0:83, 2015-03-06 14:01:34, 2015-03-06 14:06:35,6,54, WPA2, CCMP,PSK,-97,221,0,   0.  0.  0.  0,13, island-35D080, 
6C:19:8F:47:73:F5, 2015-03-06 14:01:31, 2015-03-06 14:06:36,6,54, WEP , WEP,   ,-97,546,0,   0.  0.  0.  0,7, shtisel, 
24:C9:A1:36:51:D8, 2015-03-06 14:01:33, 2015-03-06 14:06:35,11,54, OPN ,       ,   ,-97,252,0,   0.  0.  0.  0,6, kar-67, 
24:C9:A1:B6:51:D3, 2015-03-06 14:01:33, 2015-03-06 14:06:35,11,54, WPA2, CCMP,PSK,-97,143,0,   0.  0.  0.  0,0, , 
00:18:25:01:72:40, 2015-03-06 14:01:33, 2015-03-06 14:06:34,4,54, OPN ,       ,   ,-74,48,26, 223.212.  0. 23,15, Coolnet-Hotspot, 
C4:04:15:19:66:BC, 2015-03-06 14:01:31, 2015-03-06 14:06:35,11,54, WPA2, CCMP,PSK,-39,862,80,   0.  0.  0.  0,2,50, 
,,,,,,,,,,,,,,
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs,,,,,,,,
62:06:81:E9:F3:F1, 2015-03-06 14:01:38, 2015-03-06 14:01:38,-67,2, 00:25:00:FF:94:73,,,,,,,,,
40:61:86:9B:1D:C1, 2015-03-06 14:05:28, 2015-03-06 14:05:29,-49,11, (not associated) ,,,,,,,,,
F4:F1:5A:DE:EB:EE, 2015-03-06 14:02:54, 2015-03-06 14:05:30,-43,49, (not associated) , wire,50,,,,,,,
6C:70:9F:47:7F:47, 2015-03-06 14:02:49, 2015-03-06 14:06:30,-97,155, (not associated) ,50,iPhone leha,,,,,,,
